id,name,height,weight,base_experience,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,total_stats,is_dual_type
1,bulbasaur,7,69,64,grass,poison,45,49,49,65,65,45,318,1
2,ivysaur,10,130,142,grass,poison,60,62,63,80,80,60,405,1
3,venusaur,20,1000,236,grass,poison,80,82,83,100,100,80,525,1
4,charmander,6,85,62,fire,,39,52,43,60,50,65,309,0
5,charmeleon,11,190,142,fire,,58,64,58,80,65,80,405,0
6,charizard,17,905,240,fire,flying,78,84,78,109,85,100,534,1
7,squirtle,5,90,63,water,,44,48,65,50,64,43,314,0
8,wartortle,10,225,142,water,,59,63,80,65,80,58,405,0
9,blastoise,16,855,239,water,,79,83,100,85,105,78,530,0
10,caterpie,3,29,39,bug,,45,30,35,20,20,45,195,0
11,metapod,7,99,72,bug,,50,20,55,25,25,30,205,0
12,butterfree,11,320,178,bug,flying,60,45,50,90,80,70,395,1
13,weedle,3,32,39,bug,poison,40,35,30,20,20,50,195,1
14,kakuna,6,100,72,bug,poison,45,25,50,25,25,35,205,1
15,beedrill,10,295,178,bug,poison,65,90,40,45,80,75,395,1
16,pidgey,3,18,50,normal,flying,40,45,40,35,35,56,251,1
17,pidgeotto,11,300,122,normal,flying,63,60,55,50,50,71,349,1
18,pidgeot,15,395,216,normal,flying,83,80,75,70,70,101,479,1
19,rattata,3,35,51,normal,,30,56,35,25,35,72,253,0
20,raticate,7,185,145,normal,,55,81,60,50,70,97,413,0
21,spearow,3,20,52,normal,flying,40,60,30,31,31,70,262,1
22,fearow,12,380,155,normal,flying,65,90,65,61,61,100,442,1
23,ekans,20,69,58,poison,,35,60,44,40,54,55,288,0
24,arbok,35,650,157,poison,,60,95,69,65,79,80,448,0
25,pikachu,4,60,112,electric,,35,55,40,50,50,90,320,0
26,raichu,8,300,218,electric,,60,90,55,90,80,110,485,0
27,sandshrew,6,120,60,ground,,50,75,85,20,30,40,300,0
28,sandslash,10,295,158,ground,,75,100,110,45,55,65,450,0
29,nidoran-f,4,70,55,poison,,55,47,52,40,40,41,275,0
30,nidorina,8,200,128,poison,,70,62,67,55,55,56,365,0
31,nidoqueen,13,600,227,poison,ground,90,92,87,75,85,76,505,1
32,nidoran-m,5,90,55,poison,,46,57,40,40,40,50,273,0
33,nidorino,9,195,128,poison,,61,72,57,55,55,65,365,0
34,nidoking,14,620,227,poison,ground,81,102,77,85,75,85,505,1
35,clefairy,6,75,113,fairy,,70,45,48,60,65,35,323,0
36,clefable,13,400,217,fairy,,95,70,73,95,90,60,483,0
37,vulpix,6,99,60,fire,,38,41,40,50,65,65,299,0
38,ninetales,11,199,177,fire,,73,76,75,81,100,100,505,0
39,jigglypuff,5,55,95,normal,fairy,115,45,20,45,25,20,270,1
40,wigglytuff,10,120,196,normal,fairy,140,70,45,85,50,45,435,1
41,zubat,8,75,49,poison,flying,40,45,35,30,40,55,245,1
42,golbat,16,550,159,poison,flying,75,80,70,65,75,90,455,1
43,oddish,5,54,64,grass,poison,45,50,55,75,65,30,320,1
44,gloom,8,86,138,grass,poison,60,65,70,85,75,40,395,1
45,vileplume,12,186,221,grass,poison,75,80,85,110,90,50,490,1
46,paras,3,54,57,bug,grass,35,70,55,45,55,25,285,1
47,parasect,10,295,142,bug,grass,60,95,80,60,80,30,405,1
48,venonat,10,300,61,bug,poison,60,55,50,40,55,45,305,1
49,venomoth,15,125,158,bug,poison,70,65,60,90,75,90,450,1
50,diglett,2,8,53,ground,,10,55,25,35,45,95,265,0
51,dugtrio,7,333,149,ground,,35,100,50,50,70,120,425,0
52,meowth,4,42,58,normal,,40,45,35,40,40,90,290,0
53,persian,10,320,154,normal,,65,70,60,65,65,115,440,0
54,psyduck,8,196,64,water,,50,52,48,65,50,55,320,0
55,golduck,17,766,175,water,,80,82,78,95,80,85,500,0
56,mankey,5,280,61,fighting,,40,80,35,35,45,70,305,0
57,primeape,10,320,159,fighting,,65,105,60,60,70,95,455,0
58,growlithe,7,190,70,fire,,55,70,45,70,50,60,350,0
59,arcanine,19,1550,194,fire,,90,110,80,100,80,95,555,0
